,M_CP008896,ME_CP008896,CP008896,M_CP053697,ME_CP053697,CP053697,M_CP026386,ME_CP026386,CP026386,M_CP069317,ME_CP069317,CP069317,M_AE004091.2,ME_AE004091.2,AE004091.2,M_pputida,ME_pputida,pputida,M_CP073105,ME_CP073105,CP073105,M_CP065866,ME_CP065866,CP065866,M_CP061848,ME_CP061848,CP061848,M_CP012831,ME_CP012831,CP012831,M_CP008749.1,ME_CP008749.1,CP008749.1,M_CP032419,ME_CP032419,CP032419,M_CP038001,ME_CP038001,CP038001,M_CP022560,ME_CP022560,CP022560,M_CP076683,ME_CP076683,CP076683,M_CP045416,ME_CP045416,CP045416,M_LS483372,ME_LS483372,LS483372,M_CP022562,ME_CP022562,CP022562,M_LR590473,ME_LR590473,LR590473,M_CP065865,ME_CP065865,CP065865,M_CP012830,ME_CP012830,CP012830,M_AP014655.1,ME_AP014655.1,AP014655.1,M_CP061335,ME_CP061335,CP061335,M_CP068238,ME_CP068238,CP068238,M_CP050291,ME_CP050291,CP050291,M_CP070982,ME_CP070982,CP070982,M_CP000712,ME_CP000712,CP000712,M_AP024503,ME_AP024503,AP024503,M_CP045349,ME_CP045349,CP045349,M_CP063780,ME_CP063780,CP063780,M_CP024478,ME_CP024478,CP024478,M_CP022561,ME_CP022561,CP022561,M_CP065867,ME_CP065867,CP065867,M_CP020100,ME_CP020100,CP020100,M_CP039749,ME_CP039749,CP039749,M_CP041013,ME_CP041013,CP041013,M_CP015225,ME_CP015225,CP015225,M_CP045359,ME_CP045359,CP045359,M_CP043320,ME_CP043320,CP043320,M_CP060288,ME_CP060288,CP060288,M_CP043179,ME_CP043179,CP043179
Anaplerotic Reactions,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Propanoate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transport, Outer Membrane",1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,-0.10262139561157835,-1.1026213956115782,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.36829697066677586,-1.0,-1.3682969706667758,0.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.9994385456203569,0.9994385456203569,1.0,-1.0,-2.0
Aromatic Compound Degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofactor and Prosthetic Group Biosynthesis Feclustermetabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofactor and Prosthetic Group Biosynthesis Folate Biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unassigned,1.0,0.9999999999999755,-2.453592884421596e-14,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.9999999999998371,-1.6286971771251046e-13,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Phosphonate and phosphinate metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riboflavin metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lipopolysaccharide Biosynthesis / Recycling,1.0,1.0,0.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,-1.0,-2.0,1.0,-1.0,-2.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0,1.0,0.0,-1.0
Quorum sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glycolysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofactor and Prosthetic Group Biosynthesis Ubiquinone biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glyoxylate Metabolism,1.0,-1.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,-1.0,1.0,2.0,1.0,0.0,-1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,-1.0,0.0,1.0,0.0,0.0,0.0
Glycolysis/Gluconeogenesis,0.33459462742970375,1.0,0.6654053725702962,0.33465706140450474,1.0,0.6653429385954952,0.19180948515629345,1.0,0.8081905148437065,0.19183958107758955,1.0,0.8081604189224104,0.20360316873469755,1.0,0.7963968312653025,0.9693215383779371,1.0,0.03067846162206289,0.3358553746485583,1.0,0.6641446253514417,0.20360316873469755,1.0,0.7963968312653025,0.19180948515629345,1.0,0.8081905148437065,0.3346548061892223,1.0,0.6653451938107777,0.20360316873469755,1.0,0.7963968312653025,0.1917843833515551,1.0,0.8082156166484449,0.26872516252847095,1.0,0.731274837471529,0.19180948515629345,1.0,0.8081905148437065,0.3343584010690846,1.0,0.6656415989309155,0.33436072249589605,1.0,0.665639277504104,0.26872516252847095,1.0,0.731274837471529,0.19180948515629345,1.0,0.8081905148437065,0.20360316873469755,1.0,0.7963968312653025,0.20360316873469755,1.0,0.7963968312653025,-0.002280297985261186,1.0,1.0022802979852612,0.3343601926904463,1.0,0.6656398073095537,0.3345946288654818,1.0,0.6654053711345183,0.20360316873469755,1.0,0.7963968312653025,0.16362833064892535,1.0,0.8363716693510747,0.19180948515629345,1.0,0.8081905148437065,0.19180948515629345,1.0,0.8081905148437065,0.20701536379773028,1.0,0.7929846362022697,0.33973198374050145,1.0,0.6602680162594985,0.26872516252847095,1.0,0.731274837471529,-0.0022495790978994752,1.0,1.0022495790978996,0.19180948515629345,1.0,0.8081905148437065,0.20360316873469755,1.0,0.7963968312653025,0.3342227013207647,1.0,0.6657772986792353,0.20360316873469755,1.0,0.7963968312653025,0.20360316873469755,1.0,0.7963968312653025,0.33465481569232874,1.0,0.6653451843076712,0.33973198374050145,1.0,0.6602680162594985,0.1834308349460744,1.0,0.8165691650539256,0.33585535845668624,1.0,0.6641446415433138,0.24564525311541768,1.0,0.7543547468845824
Benzoate degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Histidine Metabolism,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Propanoate Metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alanine and Aspartate Metabolism,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-1.1147604177275954e-06,1.0,1.0000011147604178,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224,-0.8423941410244223,1.0,1.8423941410244224,-0.8423941410244224,1.0,1.8423941410244224
Exchange,-1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,-0.7460553156422517,0.0,0.7460553156422517,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,-1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Glycine and Serine Metabolism,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
One carbon pool by folate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cofactor and Prosthetic Group Biosynthesis Queuosine biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Citrate cycle (TCA cycle),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transport, Outer Membrane Porin",-0.33760113700965655,1.0,1.3376011370096565,-0.3378206565770488,1.0,1.3378206565770487,-0.33724128641147133,1.0,1.3372412864114713,-0.33722717953916126,1.0,1.3372271795391613,-0.4426298780765137,1.0,1.4426298780765137,-0.44367015546634064,1.0,1.4436701554663407,-0.4402732259138109,1.0,1.440273225913811,-0.4426298780765137,1.0,1.4426298780765137,-0.33724128641147133,1.0,1.3372412864114713,-0.3378127815871419,1.0,1.337812781587142,-0.4426298780765137,1.0,1.4426298780765137,-0.3372531104797877,1.0,1.3372531104797876,-0.4403414542917217,1.0,1.4403414542917217,-0.33724128641147133,1.0,1.3372412864114713,-0.43786292580660424,1.0,1.4378629258066042,-0.4378598778286003,1.0,1.4378598778286003,-0.4403414542917217,1.0,1.4403414542917217,-0.33724128641147133,1.0,1.3372412864114713,-0.4426298780765137,1.0,1.4426298780765137,-0.4426298780765137,1.0,1.4426298780765137,-0.3375012182063534,1.0,1.3375012182063535,-0.20131102428241662,1.0,1.2013110242824165,-0.33760107767916,1.0,1.33760107767916,-0.4426298780765137,1.0,1.4426298780765137,-0.420304416288864,1.0,1.420304416288864,-0.33724128641147133,1.0,1.3372412864114713,-0.33724128641147133,1.0,1.3372412864114713,-0.33786806396705826,1.0,1.3378680639670582,-0.44237993854544616,1.0,1.442379938545446,-0.4403414542917217,1.0,1.4403414542917217,-0.33744211009862657,1.0,1.3374421100986265,-0.33724128641147133,1.0,1.3372412864114713,-0.4426298780765137,1.0,1.4426298780765137,-0.16173876227870532,1.0,1.1617387622787052,-0.4426298780765137,1.0,1.4426298780765137,-0.4426298780765137,1.0,1.4426298780765137,-0.33781281445938166,1.0,1.3378128144593817,-0.44237993854544616,1.0,1.442379938545446,0.2270200818390505,1.0,0.7729799181609495,-0.4402732158129057,1.0,1.4402732158129057,-0.44043430451919807,1.0,1.440434304519198
Lysine degradation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Transport, Inner Membrane",-0.8409226686720985,1.0,1.8409226686720985,-0.8411288962748078,1.0,1.8411288962748078,-0.8529875224897391,1.0,1.8529875224897392,-0.8530024631327582,1.0,1.8530024631327582,-0.7135145429251518,1.0,1.713514542925152,-0.7611726053926768,1.0,1.7611726053926768,-0.6433609078599526,1.0,1.6433609078599525,-0.7135145429251518,1.0,1.713514542925152,-0.8529875224897391,1.0,1.8529875224897392,-0.8411381548424688,1.0,1.8411381548424688,-0.7135145429251518,1.0,1.713514542925152,-0.8529745820952895,1.0,1.8529745820952894,-0.6735194924752201,1.0,1.6735194924752201,-0.8529875224897391,1.0,1.8529875224897392,-0.6123779930570711,1.0,1.6123779930570712,-0.6123190657325849,1.0,1.612319065732585,-0.6735194924752201,1.0,1.6735194924752201,-0.8529875224897391,1.0,1.8529875224897392,-0.7135145429251518,1.0,1.713514542925152,-0.7135145429251518,1.0,1.713514542925152,-0.8531271849974082,1.0,1.8531271849974082,-0.6123838891980626,1.0,1.6123838891980626,-0.8409226835430508,1.0,1.8409226835430508,-0.7135145429251518,1.0,1.713514542925152,-0.7186845546574865,1.0,1.7186845546574865,-0.8529875224897391,1.0,1.8529875224897392,-0.8529875224897391,1.0,1.8529875224897392,-0.8522613159344854,1.0,1.8522613159344854,-0.66509242734334,1.0,1.6650924273433398,-0.6735194924752201,1.0,1.6735194924752201,-0.8531834802762717,1.0,1.8531834802762717,-0.8529875224897391,1.0,1.8529875224897392,-0.7135145429251518,1.0,1.713514542925152,-0.6012160707140864,1.0,1.6012160707140866,-0.7135145429251518,1.0,1.713514542925152,-0.7135145429251518,1.0,1.713514542925152,-0.8411381180975829,1.0,1.8411381180975828,-0.66509242734334,1.0,1.6650924273433398,-0.6689507456070094,1.0,1.6689507456070094,-0.6433608074351038,1.0,1.6433608074351038,-0.6841842884288589,1.0,1.684184288428859
Nicotinate and nicotinamide metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urea cycle and metabolism of amino groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Purine and Pyrimidine Biosynthesis,0.6188580732193666,1.0,0.3811419267806334,0.6189412553170799,1.0,0.3810587446829201,0.6188580732193665,1.0,0.3811419267806335,0.6188580732193665,1.0,0.3811419267806335,0.6189412553170801,1.0,0.3810587446829199,0.5185911889092331,1.0,0.48140881109076694,0.6189412553170802,1.0,0.3810587446829198,0.6189412553170801,1.0,0.3810587446829199,0.6188580732193665,1.0,0.3811419267806335,0.6188580732193666,1.0,0.3811419267806334,0.6189412553170801,1.0,0.3810587446829199,0.6189412553170802,1.0,0.3810587446829198,0.6188580732193664,1.0,0.38114192678063363,0.6188580732193665,1.0,0.3811419267806335,0.6189412553170802,1.0,0.3810587446829198,0.6189412553170801,1.0,0.3810587446829199,0.6188580732193664,1.0,0.38114192678063363,0.6188580732193665,1.0,0.3811419267806335,0.6189412553170801,1.0,0.3810587446829199,0.6189412553170801,1.0,0.3810587446829199,0.6189412553170802,1.0,0.3810587446829198,0.6189412553170802,1.0,0.3810587446829198,0.6188580732193665,1.0,0.3811419267806335,0.6189412553170801,1.0,0.3810587446829199,0.6188580732193665,1.0,0.3811419267806335,0.6188580732193665,1.0,0.3811419267806335,0.6188580732193665,1.0,0.3811419267806335,0.6188580732193666,1.0,0.3811419267806334,0.6188580732193665,1.0,0.3811419267806335,0.6188580732193664,1.0,0.38114192678063363,0.6189412553170801,1.0,0.3810587446829199,0.6188580732193665,1.0,0.3811419267806335,0.6189412553170801,1.0,0.3810587446829199,0.6188580732193665,1.0,0.3811419267806335,0.6189412553170801,1.0,0.3810587446829199,0.6189412553170801,1.0,0.3810587446829199,0.6189412553170801,1.0,0.3810587446829199,0.6188580732193665,1.0,0.3811419267806335,0.6189412553170801,1.0,0.3810587446829199,0.6188580732193665,1.0,0.3811419267806335,0.6189412553170801,1.0,0.3810587446829199
Nucleotide Salvage Pathway,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.3333347483176981,1.0,0.666665251682302,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
"Tyrosine, Tryptophan, and Phenylalanine Metabolism",0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.9021988801403973,1.0,0.09780111985960271,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457492610520354,1.0,0.1542507389479646,0.8457492610520356,1.0,0.15425073894796437,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457609933039377,1.0,0.15423900669606228,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457609933039378,1.0,0.15423900669606216,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464,0.8457609933039377,1.0,0.15423900669606228,0.8457257911929054,1.0,0.15427420880709464,0.8457257911929054,1.0,0.15427420880709464
none,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transport ABC system,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
