,M_CP008896,ME_CP008896,CP008896,M_CP053697,ME_CP053697,CP053697,M_CP026386,ME_CP026386,CP026386,M_CP069317,ME_CP069317,CP069317,M_AE004091.2,ME_AE004091.2,AE004091.2,M_pputida,ME_pputida,pputida,M_CP073105,ME_CP073105,CP073105,M_CP065866,ME_CP065866,CP065866,M_CP061848,ME_CP061848,CP061848,M_CP012831,ME_CP012831,CP012831,M_CP008749.1,ME_CP008749.1,CP008749.1,M_CP032419,ME_CP032419,CP032419,M_CP038001,ME_CP038001,CP038001,M_CP022560,ME_CP022560,CP022560,M_CP076683,ME_CP076683,CP076683,M_CP045416,ME_CP045416,CP045416,M_LS483372,ME_LS483372,LS483372,M_CP022562,ME_CP022562,CP022562,M_LR590473,ME_LR590473,LR590473,M_CP065865,ME_CP065865,CP065865,M_CP012830,ME_CP012830,CP012830,M_AP014655.1,ME_AP014655.1,AP014655.1,M_CP061335,ME_CP061335,CP061335,M_CP068238,ME_CP068238,CP068238,M_CP050291,ME_CP050291,CP050291,M_CP070982,ME_CP070982,CP070982,M_CP000712,ME_CP000712,CP000712,M_AP024503,ME_AP024503,AP024503,M_CP045349,ME_CP045349,CP045349,M_CP063780,ME_CP063780,CP063780,M_CP024478,ME_CP024478,CP024478,M_CP022561,ME_CP022561,CP022561,M_CP065867,ME_CP065867,CP065867,M_CP020100,ME_CP020100,CP020100,M_CP039749,ME_CP039749,CP039749,M_CP041013,ME_CP041013,CP041013,M_CP015225,ME_CP015225,CP015225,M_CP045359,ME_CP045359,CP045359,M_CP043320,ME_CP043320,CP043320,M_CP060288,ME_CP060288,CP060288,M_CP043179,ME_CP043179,CP043179
Murein Biosynthesis,-0.3108816509502437,-0.20664638211861866,0.10423526883162507,-1.0,0.999999988719843,1.999999988719843,-1.0,0.0,1.0,-1.0,0.0,1.0,-0.5841882994954529,0.0,0.5841882994954529,1.0,1.0,0.0,0.6063070187399686,0.0,-0.6063070187399686,0.9652662284725226,0.5,-0.46526622847252264,-1.0,0.0,1.0,-0.2802240926211849,0.0,0.2802240926211849,1.0,0.0,-1.0,-1.0,0.0,1.0,0.6356730736011474,0.0,-0.6356730736011474,1.0,0.0,-1.0,-1.0,0.0,1.0,-0.6930554708799427,0.0,0.6930554708799427,1.0,0.0,-1.0,1.0,0.0,-1.0,-0.9999977999712629,0.0,0.9999977999712629,0.587881067902912,0.0,-0.587881067902912,0.836777502898844,0.0,-0.836777502898844,0.0,0.0,0.0,-1.0,0.9999999948880783,1.9999999948880784,-0.38155000616596685,0.0,0.38155000616596685,0.24840882560962382,0.0,-0.24840882560962382,0.8118245356665897,0.0,-0.8118245356665897,1.0,0.0,-1.0,0.6192944049659964,0.0,-0.6192944049659964,0.0,0.0,0.0,-0.9999944251393468,0.0,0.9999944251393468,-1.0,0.0,1.0,0.8118245356665897,0.0,-0.8118245356665897,0.06668574626181566,0.0,-0.06668574626181566,0.0,1.0,1.0,0.996296583022227,0.0,-0.996296583022227,0.996296583022227,0.0,-0.996296583022227,-1.0,1.0,2.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,1.0,0.0,-1.0
"Glycine, serine and threonine metabolism",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pentose Phosphate Pathway,0.991312104107769,1.0,0.008687895892230957,0.9908786570976437,1.0,0.009121342902356333,0.9881434994383447,1.0,0.011856500561655325,0.9881848121034568,1.0,0.011815187896543233,0.9320379717942883,1.0,0.06796202820571173,0.8876610297570229,1.0,0.11233897024297712,0.9827798983270322,1.0,0.017220101672967836,0.9320379717942883,1.0,0.06796202820571173,0.9881434994383447,1.0,0.011856500561655325,0.9908940513144562,1.0,0.009105948685543819,0.9320379717942883,1.0,0.06796202820571173,0.9881090542474086,1.0,0.01189094575259142,0.9781086153448333,1.0,0.021891384655166712,0.9881434994383447,1.0,0.011856500561655325,0.9929203943445302,1.0,0.007079605655469834,0.992903317326881,1.0,0.007096682673119026,0.9781086153448333,1.0,0.021891384655166712,0.9881434994383447,1.0,0.011856500561655325,0.9320379717942883,1.0,0.06796202820571173,0.9320379717942883,1.0,0.06796202820571173,0.9873841329374694,1.0,0.012615867062530595,0.9929081182831939,1.0,0.007091881716806081,0.9913120943221204,1.0,0.008687905677879582,0.9320379717942883,1.0,0.06796202820571173,0.9794523668094669,1.0,0.0205476331905331,0.9881434994383447,1.0,0.011856500561655325,0.9881434994383447,1.0,0.011856500561655325,0.9864753461180038,1.0,0.013524653881996196,0.957562149333474,1.0,0.042437850666525945,0.9781086153448333,1.0,0.021891384655166712,0.9875566851078705,1.0,0.012443314892129465,0.9881434994383447,1.0,0.011856500561655325,0.9320379717942883,1.0,0.06796202820571173,0.9938511836228541,1.0,0.006148816377145927,0.9320379717942883,1.0,0.06796202820571173,0.9320379717942883,1.0,0.06796202820571173,0.9908939864950183,1.0,0.009106013504981747,0.957562149333474,1.0,0.042437850666525945,0.9733532350833137,1.0,0.026646764916686272,0.9827800067621464,1.0,0.017219993237853615,0.9752182129432183,1.0,0.02478178705678169
Fatty Acid Metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Starch and Sucrose Metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transport,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.9752154338750624,0.0,0.9752154338750624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,-1.0,-1.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,,,,-1.0,0.0,1.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,1.0,1.0,0.0
Biosynthesis of siderophore group nonribosomal peptides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrite Metabolism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nitrogen Metabolism,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
Alginate biosynthesis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
